gcc_hash,hash_timestamp,libc-libname-tool,libc,target,tool,unique_fails,total_fails
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32gc ilp32d medlow -gcc,newlib,rv32gc ilp32d medlow ,gcc,58,570
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32gc ilp32d medlow -g++,newlib,rv32gc ilp32d medlow ,g++,6,37
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32gc_zba_zbb_zbc_zbs ilp32d medlow -gcc,newlib,rv32gc_zba_zbb_zbc_zbs ilp32d medlow ,gcc,59,577
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32gc_zba_zbb_zbc_zbs ilp32d medlow -g++,newlib,rv32gc_zba_zbb_zbc_zbs ilp32d medlow ,g++,6,37
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64gc lp64d medlow -gcc,newlib,rv64gc lp64d medlow ,gcc,54,544
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64gc lp64d medlow -g++,newlib,rv64gc lp64d medlow ,g++,3,10
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64gc_zba_zbb_zbc_zbs lp64d medlow -gcc,newlib,rv64gc_zba_zbb_zbc_zbs lp64d medlow ,gcc,54,544
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64gc_zba_zbb_zbc_zbs lp64d medlow -g++,newlib,rv64gc_zba_zbb_zbc_zbs lp64d medlow ,g++,3,10
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32gcv ilp32d medlow multilib -g++,newlib,rv32gcv ilp32d medlow multilib ,g++,8,45
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64gcv lp64d medlow multilib -g++,newlib,rv64gcv lp64d medlow multilib ,g++,5,18
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64gcv_zvbb_zvbc_zvkg_zvkn_zvknc_zvkned_zvkng_zvknha_zvknhb_zvks_zvksc_zvksed_zvksg_zvksh_zvkt lp64d medlow multilib -g++,newlib,rv64gcv_zvbb_zvbc_zvkg_zvkn_zvknc_zvkned_zvkng_zvknha_zvknhb_zvks_zvksc_zvksed_zvksg_zvksh_zvkt lp64d medlow multilib ,g++,5,18
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64imafdcv_zicond_zawrs_zbc_zvkng_zvksg_zvbb_zvbc_zicsr_zba_zbb_zbs_zicbom_zicbop_zicboz_zfhmin_zkt lp64d medlow multilib -g++,newlib,rv64imafdcv_zicond_zawrs_zbc_zvkng_zvksg_zvbb_zvbc_zicsr_zba_zbb_zbs_zicbom_zicbop_zicboz_zfhmin_zkt lp64d medlow multilib ,g++,5,18
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32gcv ilp32d medlow multilib -gcc,newlib,rv32gcv ilp32d medlow multilib ,gcc,80,623
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64gcv lp64d medlow multilib -gcc,newlib,rv64gcv lp64d medlow multilib ,gcc,73,569
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64gcv_zvbb_zvbc_zvkg_zvkn_zvknc_zvkned_zvkng_zvknha_zvknhb_zvks_zvksc_zvksed_zvksg_zvksh_zvkt lp64d medlow multilib -gcc,newlib,rv64gcv_zvbb_zvbc_zvkg_zvkn_zvknc_zvkned_zvkng_zvknha_zvknhb_zvks_zvksc_zvksed_zvksg_zvksh_zvkt lp64d medlow multilib ,gcc,73,569
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64imafdcv_zicond_zawrs_zbc_zvkng_zvksg_zvbb_zvbc_zicsr_zba_zbb_zbs_zicbom_zicbop_zicboz_zfhmin_zkt lp64d medlow multilib -gcc,newlib,rv64imafdcv_zicond_zawrs_zbc_zvkng_zvksg_zvbb_zvbc_zicsr_zba_zbb_zbs_zicbom_zicbop_zicboz_zfhmin_zkt lp64d medlow multilib ,gcc,79,581
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32imac ilp32 medlow multilib -gcc,newlib,rv32imac ilp32 medlow multilib ,gcc,60,578
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32imc ilp32 medlow multilib -gcc,newlib,rv32imc ilp32 medlow multilib ,gcc,60,578
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32imc_zicsr_zifencei ilp32 medlow multilib -gcc,newlib,rv32imc_zicsr_zifencei ilp32 medlow multilib ,gcc,60,578
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64imac lp64 medlow multilib -gcc,newlib,rv64imac lp64 medlow multilib ,gcc,55,545
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64imc lp64 medlow multilib -gcc,newlib,rv64imc lp64 medlow multilib ,gcc,55,545
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64imc_zicsr_zifencei lp64 medlow multilib -gcc,newlib,rv64imc_zicsr_zifencei lp64 medlow multilib ,gcc,55,545
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32imac ilp32 medlow multilib -g++,newlib,rv32imac ilp32 medlow multilib ,g++,6,37
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32imc ilp32 medlow multilib -g++,newlib,rv32imc ilp32 medlow multilib ,g++,6,37
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32imc_zicsr_zifencei ilp32 medlow multilib -g++,newlib,rv32imc_zicsr_zifencei ilp32 medlow multilib ,g++,6,37
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64imac lp64 medlow multilib -g++,newlib,rv64imac lp64 medlow multilib ,g++,3,10
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64imc lp64 medlow multilib -g++,newlib,rv64imc lp64 medlow multilib ,g++,3,10
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64imc_zicsr_zifencei lp64 medlow multilib -g++,newlib,rv64imc_zicsr_zifencei lp64 medlow multilib ,g++,3,10
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32imac_zba_zbb_zbc_zbs ilp32 medlow multilib -g++,newlib,rv32imac_zba_zbb_zbc_zbs ilp32 medlow multilib ,g++,6,37
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32imc_zba_zbb_zbc_zbs ilp32 medlow multilib -g++,newlib,rv32imc_zba_zbb_zbc_zbs ilp32 medlow multilib ,g++,6,74
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32imc_zba_zbb_zbc_zbs_zicsr_zifencei ilp32 medlow multilib -g++,newlib,rv32imc_zba_zbb_zbc_zbs_zicsr_zifencei ilp32 medlow multilib ,g++,6,74
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64imac_zba_zbb_zbc_zbs lp64 medlow multilib -g++,newlib,rv64imac_zba_zbb_zbc_zbs lp64 medlow multilib ,g++,3,10
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64imc_zba_zbb_zbc_zbs lp64 medlow multilib -g++,newlib,rv64imc_zba_zbb_zbc_zbs lp64 medlow multilib ,g++,3,20
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64imc_zba_zbb_zbc_zbs_zicsr_zifencei lp64 medlow multilib -g++,newlib,rv64imc_zba_zbb_zbc_zbs_zicsr_zifencei lp64 medlow multilib ,g++,3,20
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32imac_zba_zbb_zbc_zbs ilp32 medlow multilib -gcc,newlib,rv32imac_zba_zbb_zbc_zbs ilp32 medlow multilib ,gcc,60,578
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32imc_zba_zbb_zbc_zbs ilp32 medlow multilib -gcc,newlib,rv32imc_zba_zbb_zbc_zbs ilp32 medlow multilib ,gcc,60,1156
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32imc_zba_zbb_zbc_zbs_zicsr_zifencei ilp32 medlow multilib -gcc,newlib,rv32imc_zba_zbb_zbc_zbs_zicsr_zifencei ilp32 medlow multilib ,gcc,60,1156
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64imac_zba_zbb_zbc_zbs lp64 medlow multilib -gcc,newlib,rv64imac_zba_zbb_zbc_zbs lp64 medlow multilib ,gcc,55,545
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64imc_zba_zbb_zbc_zbs lp64 medlow multilib -gcc,newlib,rv64imc_zba_zbb_zbc_zbs lp64 medlow multilib ,gcc,55,1090
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64imc_zba_zbb_zbc_zbs_zicsr_zifencei lp64 medlow multilib -gcc,newlib,rv64imc_zba_zbb_zbc_zbs_zicsr_zifencei lp64 medlow multilib ,gcc,55,1090
f17d31e709af9b2d488adecd6cd040dfc1f23b04,2024-04-21 17:24:24 +0100,newlib-rv32gc ilp32d medlow -g++,newlib,rv32gc ilp32d medlow ,g++,6,38
f17d31e709af9b2d488adecd6cd040dfc1f23b04,2024-04-21 17:24:24 +0100,newlib-rv32gc ilp32d medlow -gcc,newlib,rv32gc ilp32d medlow ,gcc,19,56
f17d31e709af9b2d488adecd6cd040dfc1f23b04,2024-04-21 17:24:24 +0100,newlib-rv32gc_zba_zbb_zbc_zbs ilp32d medlow -g++,newlib,rv32gc_zba_zbb_zbc_zbs ilp32d medlow ,g++,6,38
f17d31e709af9b2d488adecd6cd040dfc1f23b04,2024-04-21 17:24:24 +0100,newlib-rv32gc_zba_zbb_zbc_zbs ilp32d medlow -gcc,newlib,rv32gc_zba_zbb_zbc_zbs ilp32d medlow ,gcc,20,63
f17d31e709af9b2d488adecd6cd040dfc1f23b04,2024-04-21 17:24:24 +0100,newlib-rv64gc lp64d medlow -g++,newlib,rv64gc lp64d medlow ,g++,4,14
